날짜,"01
프린터앞","02
프린터위","03
부스내부","04
부스외부"
01-21 3:00,-5.1,-0.6,-5.1,-8.8
01-21 3:01,-5.1,-0.6,-5.1,-8.8
01-21 3:02,-5.1,-0.6,-5.1,-8.8
01-21 3:03,-5.1,-0.7,-5.1,-8.8
01-21 3:04,-5.1,-0.7,-5.1,-8.9
01-21 3:05,-5.1,-0.8,-5.2,-8.9
01-21 3:06,-5.1,-0.8,-5.3,-8.9
01-21 3:07,-5.1,-0.8,-5.3,-8.9
01-21 3:08,-5.1,-0.9,-5.3,-8.9
01-21 3:09,-5.1,-0.9,-5.3,-8.9
01-21 3:10,-5.1,-0.9,-5.3,-8.9
01-21 3:11,-5.1,-0.9,-5.3,-8.9
01-21 3:12,-5.1,-1,-5.4,-9
01-21 3:13,-5.1,-1,-5.4,-9
01-21 3:14,-5.1,-1,-5.4,-9
01-21 3:15,-5.1,-1.1,-5.5,-9
01-21 3:16,-5.1,-1.1,-5.5,-9.1
01-21 3:17,-5.1,-1.1,-5.5,-9
01-21 3:18,-5.1,-1.2,-5.5,-9
01-21 3:19,-5.1,-1.2,-5.5,-9
01-21 3:20,-5.1,-1.3,-5.5,-9
01-21 3:21,-5.1,-1.3,-5.5,-9
01-21 3:22,-5.1,-1.3,-5.5,-9
01-21 3:23,-5.1,-1.3,-5.5,-9
01-21 3:24,-5.1,-1.3,-5.5,-9
01-21 3:25,-5.1,-1.3,-5.5,-8.9
01-21 3:26,-5.1,-1.4,-5.5,-8.9
01-21 3:27,-5.1,-1.4,-5.5,-8.9
01-21 3:28,-5.1,-1.4,-5.5,-8.9
01-21 3:29,-5.1,-1.5,-5.6,-8.9
01-21 3:30,-5.1,-1.5,-5.6,-8.9
01-21 3:31,-5.1,-1.5,-5.6,-9
01-21 3:32,-5.1,-1.5,-5.6,-9
01-21 3:33,-5.1,-1.5,-5.7,-9
01-21 3:34,-5.1,-1.6,-5.7,-9.1
01-21 3:35,-5.1,-1.6,-5.7,-9.1
01-21 3:36,-5.1,-1.6,-5.7,-9.1
01-21 3:37,-5.1,-1.6,-5.8,-9.1
01-21 3:38,-5.1,-1.7,-5.8,-9.1
01-21 3:39,-5.1,-1.7,-5.8,-9.1
01-21 3:40,-5.2,-1.7,-5.8,-9.1
01-21 3:41,-5.2,-1.7,-5.8,-9.1
01-21 3:42,-5.1,-1.7,-5.8,-9.1
01-21 3:43,-5.1,-1.7,-5.8,-9.1
01-21 3:44,-5.2,-1.8,-5.9,-9.1
01-21 3:45,-5.2,-1.8,-5.8,-9.1
01-21 3:46,-5.1,-1.8,-5.8,-9.1
01-21 3:47,-5.1,-1.9,-5.8,-9.1
01-21 3:48,-5.1,-1.9,-5.8,-9.1
01-21 3:49,-5.1,-1.9,-5.9,-9.1
01-21 3:50,-5.1,-1.9,-5.9,-9.1
01-21 3:51,-5.2,-1.9,-6,-9.1
01-21 3:52,-5.1,-1.9,-5.9,-9.2
01-21 3:53,-5.2,-2,-5.9,-9.1
01-21 3:54,-5.2,-1.9,-5.9,-9.2
01-21 3:55,-5.2,-2,-5.9,-9.1
01-21 3:56,-5.2,-2,-6,-9.2
01-21 3:57,-5.2,-2,-5.9,-9.2
01-21 3:58,-5.2,-2,-6,-9.2
01-21 3:59,-5.2,-2,-6,-9.2
01-21 4:00,-5.2,-2.1,-6,-9.2
01-21 4:01,-5.2,-2.1,-6,-9.2
01-21 4:02,-5.2,-2.1,-6,-9.1
01-21 4:03,-5.2,-2.1,-5.9,-9.2
01-21 4:04,-5.2,-2.2,-6,-9.1
01-21 4:05,-5.2,-2.2,-5.9,-9.1
01-21 4:06,-5.2,-2.2,-6,-9.1
01-21 4:07,-5.2,-2.2,-5.9,-9.1
01-21 4:08,-5.2,-2.2,-6,-9.1
01-21 4:09,-5.2,-2.3,-6,-9.1
01-21 4:10,-5.2,-2.3,-6,-9.1
01-21 4:11,-5.2,-2.3,-6,-9.1
01-21 4:12,-5.2,-2.3,-6,-9.1
01-21 4:13,-5.2,-2.3,-6,-9.1
01-21 4:14,-5.2,-2.3,-6,-9.1
01-21 4:15,-5.2,-2.3,-6,-9.1
01-21 4:16,-5.2,-2.4,-6,-9.1
01-21 4:17,-5.2,-2.4,-6,-9.1
01-21 4:18,-5.2,-2.4,-6,-9.1
01-21 4:19,-5.2,-2.4,-6,-9.1
01-21 4:20,-5.2,-2.4,-6,-9.1
01-21 4:21,-5.2,-2.4,-6.1,-9.1
01-21 4:22,-5.2,-2.5,-6,-9
01-21 4:23,-5.2,-2.5,-6.1,-9.1
01-21 4:24,-5.2,-2.5,-6.1,-9.1
01-21 4:25,-5.2,-2.5,-6.1,-9
01-21 4:26,-5.2,-2.5,-6.1,-9
01-21 4:27,-5.2,-2.5,-6.1,-9
01-21 4:28,-5.2,-2.5,-6.1,-9
01-21 4:29,-5.2,-2.6,-6,-9
01-21 4:30,-5.2,-2.6,-6.1,-9
01-21 4:31,-5.2,-2.6,-6,-9
01-21 4:32,-5.2,-2.6,-6.1,-9
01-21 4:33,-5.2,-2.6,-6.1,-9
01-21 4:34,-5.2,-2.6,-6.1,-9
01-21 4:35,-5.2,-2.6,-6.1,-9
01-21 4:36,-5.2,-2.7,-6.1,-9.1
01-21 4:37,-5.3,-2.7,-6.1,-9.1
